tên,ô,view,từ,câu,từ/câu,dài,wpm,chữ nguy hiểm,nguy hiểm /1000 từ,nguy hiểm lần đầu %,khúc có nguy hiểm /10,you,you /1000 từ,we/our,tôi,số liệu,số /1000 từ,tên riêng,từ hiện đại,rào đón,câu dẫn có nhãn,câu hỏi,liên từ đầu câu,câu cụt ≤4 từ,dấu !,nguồn
How Did Ancient Humans Survive the World's Deadliest Predators?,Axen,"1,076,721",1438,146,9.8,7:32,188,34,23.6,10,10,28,19.5,66,1,53,36.9,22,0,8,4,3,18,20,0,2_KHO_BANGHI/Axen/20260428_How_Did_Ancient_Humans_Survive_the_World_s_Deadliest_Predato.txt
Weird Feelings You Get That Your Brain Can't Explain...,Axen,"26,378",950,126,7.5,5:21,177,7,7.4,25,5,90,94.7,2,0,13,13.7,5,3,6,5,4,8,37,0,2_KHO_BANGHI/Axen/20260428_Weird_Feelings_You_Get_That_Your_Brain_Can_t_Explain_.txt
What Did Ancient Humans Do all Day Before Jobs Existed?,Axen,"3,118,225",1566,149,10.5,8:32,181,11,7.0,1,8,41,26.2,18,1,44,28.1,22,0,27,5,5,24,22,0,2_KHO_BANGHI/Axen/20260504_What_Did_Ancient_Humans_Do_all_Day_Before_Jobs_Existed_.txt
How Did Ancient Humans Have Privacy?,Axen,"258,173",956,113,8.5,5:14,182,6,6.3,26,4,39,40.8,14,0,17,17.8,8,0,10,4,4,12,24,0,2_KHO_BANGHI/Axen/20260505_How_Did_Ancient_Humans_Have_Privacy_.txt
Napoleon Did Some Truly Bizarre Things...,Axen,"9,706",1071,116,9.2,5:42,188,2,1.9,31,2,9,8.4,1,0,16,14.9,14,0,10,3,1,5,24,0,2_KHO_BANGHI/Axen/20260527_Napoleon_Did_Some_Truly_Bizarre_Things_.txt
How Did Ancient Humans Survive Deadly Winters?,Axen,"672,788",2231,161,13.9,10:24,213,28,12.6,2,9,28,12.6,31,2,27,12.1,15,4,17,13,2,18,9,0,2_KHO_BANGHI/Axen/20260530_How_Did_Ancient_Humans_Survive_Deadly_Winters_.txt
What Was the World Like in Ancient Human Times?,Axen,"23,840",1255,106,11.8,7:03,177,14,11.2,18,7,14,11.2,8,0,17,13.5,16,3,6,1,3,7,16,0,2_KHO_BANGHI/Axen/20260603_What_Was_the_World_Like_in_Ancient_Human_Times_.txt
Our WORLD is F*cked Up...,Axen,"11,832",1354,88,15.4,6:59,192,4,3.0,10,4,58,42.8,11,3,33,24.4,15,8,3,2,4,9,5,0,2_KHO_BANGHI/Axen/20260605_Our_WORLD_is_F_cked_Up_.txt
Why Does the OCEAN Get Creepier the Deeper You Go?,Axen,"88,002",1567,116,13.5,9:51,156,16,10.2,8,6,16,10.2,7,8,51,32.5,23,1,15,6,0,6,2,0,2_KHO_BANGHI/Axen/20260611_Why_Does_the_OCEAN_Get_Creepier_the_Deeper_You_Go_.txt
What Did Ancient Human Education Look Like?,Axen,"24,542",1554,124,12.5,10:16,149,7,4.5,5,5,6,3.9,12,0,49,31.5,33,0,13,3,3,12,17,0,2_KHO_BANGHI/Axen/20260618_What_Did_Ancient_Human_Education_Look_Like_.txt
Do Animals Live More Freely Than Humans?,Axen,"21,710",1780,142,12.5,9:23,190,8,4.5,30,4,40,22.5,20,5,11,6.2,17,3,10,4,3,13,11,0,2_KHO_BANGHI/Axen/20260626_Do_Animals_Live_More_Freely_Than_Humans_.txt
"How Gross Was the Past, Really?",Axen,"4,252",2360,152,15.5,12:41,185,12,5.1,2,5,46,19.5,8,5,25,10.6,49,3,16,2,0,16,8,0,2_KHO_BANGHI/Axen/20260803_How_Gross_Was_the_Past_Really_.txt
What Did Ancient Humans Do After Dusk?,BeforeCivilization,"3,011",1086,111,9.8,5:45,186,3,2.8,51,3,22,20.3,14,0,36,33.1,7,2,18,6,4,15,22,0,2_KHO_BANGHI/BeforeCivilization/20260501_What_Did_Ancient_Humans_Do_After_Dusk_.txt
What Ancient Humans Found Attractive Might Surprise You,BeforeCivilization,"1,705",1057,90,11.7,6:16,168,2,1.9,13,2,31,29.3,17,2,17,16.1,8,3,15,4,2,10,11,0,2_KHO_BANGHI/BeforeCivilization/20260502_What_Ancient_Humans_Found_Attractive_Might_Surprise_You.txt
Why Ancient Humans Never Got Lost (And You Still Have This Skill),BeforeCivilization,"1,458",1351,150,9.0,8:37,157,6,4.4,9,5,37,27.4,17,0,4,3.0,6,3,12,5,2,31,28,0,2_KHO_BANGHI/BeforeCivilization/20260503_Why_Ancient_Humans_Never_Got_Lost_And_You_Still_Have_This_Sk.txt
Ancient Humans Had To Do This To Keep Babies Alive,BeforeCivilization,"2,025",1457,138,10.6,8:27,173,12,8.2,16,6,21,14.4,6,0,3,2.1,1,0,13,4,10,17,18,0,2_KHO_BANGHI/BeforeCivilization/20260504_Ancient_Humans_Had_To_Do_This_To_Keep_Babies_Alive.txt
How Did Ancient Humans get High & What They Did will Surprise You,BeforeCivilization,"4,992",1306,124,10.5,10:12,127,6,4.6,2,5,14,10.7,2,2,28,21.4,17,2,7,6,7,23,24,0,2_KHO_BANGHI/BeforeCivilization/20260506_How_Did_Ancient_Humans_get_High_What_They_Did_will_Surprise_.txt
Ancient Humans Had No Jobs... So What Did They Do All Day?,BeforeCivilization,"3,987",1356,143,9.5,7:48,172,13,9.6,4,8,49,36.1,22,1,15,11.1,2,1,17,3,8,25,32,0,2_KHO_BANGHI/BeforeCivilization/20260508_Ancient_Humans_Had_No_Jobs_So_What_Did_They_Do_All_Day_.txt
What Did Ancient Humans Eat That Kept Them From Getting Fat?,BeforeCivilization,"13,792",1556,146,10.7,9:12,168,8,5.1,16,5,28,18.0,19,1,32,20.6,26,2,10,7,4,27,30,0,2_KHO_BANGHI/BeforeCivilization/20260509_What_Did_Ancient_Humans_Eat_That_Kept_Them_From_Getting_Fat_.txt
Why Did Ancient Humans Live 280 Feet Underground? ( SHOCKING!!),BeforeCivilization,"49,308",1729,173,10.0,11:13,154,17,9.8,17,9,9,5.2,9,0,15,8.7,18,0,23,8,10,34,20,0,2_KHO_BANGHI/BeforeCivilization/20260510_Why_Did_Ancient_Humans_Live_280_Feet_Underground_SHOCKING_.txt
Ancient Humans Slept Beside THIS Every Night,BeforeCivilization,"2,594",1217,125,9.7,7:52,155,40,32.9,1,10,25,20.5,10,0,11,9.0,3,1,21,5,3,26,17,0,2_KHO_BANGHI/BeforeCivilization/20260512_Ancient_Humans_Slept_Beside_THIS_Every_Night.txt
