st_Ah6Ykbh4	7810000	Zenn	What Did Ancient Humans Do at Night?
TQd2k1pEXp4	3004000	Axen	What Did Ancient Humans Do all Day Before Jobs Existed?
th-0rmRYBSg	957000	Mack	Why Ancient Humans Went From Black to White?
SsAgEXJ42SY	623000	Trust Me Bro	How Did Ancient Humans Have Fun?
QP1maS6hYn4	617000	Ink Explainer	How Did Ancient Humans Travel the World?
NcITexwM0Fg	516000	Mack	How Did Ancient Women Handle Their Periods?
TDsMZ4riaoA	453000	NORTH 02	Ancient Humans were Stoners
z1StpnRL4k4	433000	Mack	How Did Humans Invent Guns?
xkr2DJ_dlWI	408000	HUMAN-ISH	What Did Ancient Humans Do When Someone Got Pregnant?
C7UcoUS6SAw	353000	Venn Stories	How Did Ancient Women Handle Their First Period?
slI1pvzf3UM	327000	Smart Sam	How Did Ancient Humans Deal With Hygiene?
AvF3bPcqZeM	270000	Mack	How Did Ancient Humans Survive Predators?
HKuVQzxYmcM	211000	Renn	What Did Ancient Humans Do When They Had a Baby?
rGQ8s6giY04	202000	Thought Vortex	How did Ancient Humans Mate?
cMH2mUeyIz4	192000	ThinkMan	When Did Ancient Humans First Start Eating Salt?
KY8dzwvDtEE	146000	Pastly	Did Ancient Humans Smell Bad?
Rlo129X7PYE	133000	Polo Animations	Why Did Ancient Humans Begin Cooking?
x85pQRoWs9w	115000	Explain In Paint	What Did Earth Look Like to Ancient Humans?
UFjM4U1WxFg	111000	ThinkMan	How Ancient Humans Survive the Deadliest Winters?
hVnwCtbdd5U	101000	Pastly	What Would Ancient Humans Think of Modern Life?
4mB7NIrEIHI	94000	ThinkMan	When Did Ancient Humans First Start Eating Sugar?
eqrG2bhfKvI	67000	Trenn	How Did Wild Cats Become Ancient Human Pets?
ZF1N6AmnahY	68000	Amimisu	How Did Women Manage Menstruation in Ancient China?
qB4JsTXeopY	64000	Glitch Why	How Did Ancient Humans Sleep Safely at Night?
ttNB5QMOunk	62000	NORTH 02	The Human Evolution Iceberg Explained
7fcija3tguU	63000	Explain In Paint	When Did Ancient Humans Start Going Bald?
qNDlBmZK8zw	59000	Dane	Why Did Ancient Humans Never Exercise
64s478pLAuU	57000	Origins Explained	300,000-Year-Old Discovery Just Rewrote Human History
i8vYtTvXjQ8	55000	His Story 404	How Did Ancient Humans Avoid Inbreeding?
